Landslide_ID,Latitude,Longitude,Month,Week,Rainfall_1Day,Rainfall_3Days,Rainfall_7Days,Landslide
1,9.572,76.887,10,3,240.5,23.2,140,1
2,11.782,76.229,7,5,372.6,321,597.2,1
3,9.617,76.872,10,3,266,29.8,120.9,1
4,11.045,76.539,10,2,213.3,83.3,144,1
5,10.161,77.011,8,1,616,978,1293.6,1
6,9.424,76.937,8,1,216.81,234.52,242.71,1
7,9.553,76.93,8,3,232.53,244.77,270.04,1
8,9.633,76.979,6,1,154.85,163.79,235.6,1
9,11.269,76.222,9,3,239.94,268.69,318.75,1
10,11.405,76.038,7,4,158.43,175.76,256.23,1
11,9.99,76.789,10,3,204.36,232.06,260.16,1
12,9.868,76.77,10,4,237.48,251.1,293.61,1
13,10.303,76.76,8,1,265.93,288.47,357.01,1
14,9.998,76.733,6,4,198.15,207.92,260.66,1
15,10.049,76.761,8,1,258.47,271.61,352.51,1
16,9.835,76.866,8,1,208.61,232.31,290.28,1
17,10.323,76.432,8,1,199.01,227.99,240.1,1
18,9.999,77.031,8,1,253.32,276.69,352.3,1
19,9.943,76.374,8,1,299.63,323.36,335.4,1
20,9.915,77.011,8,1,205.28,213.87,267.14,1
21,9.896,76.935,8,1,275.74,297.18,343.96,1
22,10.053,76.479,7,4,196.79,223.98,255.89,1
23,11.274,75.828,6,4,159.99,189.36,193.11,1
24,10.077,76.322,10,4,275.62,300.69,361.22,1
25,11.709,76.074,6,4,268.34,274.45,367.52,1
26,9.879,76.968,8,1,167.12,175,242.93,1
27,9.854,76.947,8,1,297.93,324.25,334.2,1
28,10.061,76.633,8,1,299.2,324.79,369,1
29,10.007,76.711,8,3,166.3,181.35,193.09,1
30,11.448,75.829,10,1,275.88,297.27,322.13,1
31,9.727,76.808,8,3,163.11,172.84,239.76,1
32,9.699,76.817,8,3,200.49,210.42,249.61,1
33,11.837,75.857,8,3,202.48,208.08,290.87,1
34,11.858,75.361,7,3,283.96,290.43,329.95,1
35,10.084,77.07,6,1,187.35,197.5,274.95,1
36,10.06,76.635,8,3,230.33,246.38,313.8,1
37,10.054,76.829,8,1,251.63,270.18,290.85,1
38,9.521,77.02,6,1,296.2,312.15,361.57,1
39,11.482,75.996,10,1,205.11,191.44,176.23,1
40,9.872,76.705,6,1,181.25,176.21,148.73,1
41,10.001,76.742,8,1,238.18,221.43,199.7,1
42,10.322,76.433,8,1,257.2,248.93,214.54,1
43,9.801,76.901,5,5,286.13,266.19,258.19,1
44,8.456,77.009,11,2,284.13,270.74,272.53,1
45,9.733,76.84,5,4,182.05,167.38,158.33,1
46,9.899,76.39,9,4,238.28,219.44,216.6,1
47,9.831,76.941,6,1,235.25,229.38,203,1
48,8.495,76.921,11,2,255.93,237.8,220.49,1
49,9.599,76.529,8,1,210.38,194.95,196.22,1
50,8.486,76.952,11,2,229.94,213.59,198.36,1
51,9.835,76.866,8,2,50,125.4,604.1,0
52,9.835,76.866,8,3,6.2,0,4.3,0
53,9.835,76.866,8,5,146.2,130.4,216.3,0
54,9.915,77.011,8,2,7.3,7.6,62.4,0
55,9.915,77.011,8,5,20.7,18.2,18.2,0
56,9.915,77.011,7,3,76.3,29.3,116.2,0
57,9.896,76.935,8,5,121.4,60.3,68.9,0
58,9.896,76.935,8,2,30.3,24.8,103,0
59,9.896,76.935,7,3,194.9,165.4,194.4,0
60,9.879,76.968,8,2,77.8,212.4,616,0
61,9.879,76.968,8,4,80,52.8,52.8,0
62,9.879,76.968,7,2,137.5,259,432.4,0
63,9.854,76.947,7,4,175.8,125.2,310.2,0
64,9.854,76.947,7,2,48.6,57.1,283,0
65,9.801,76.901,5,3,99.1,132.9,226.4,0
66,9.801,76.901,6,2,30.3,17.1,29.7,0
67,9.801,76.901,6,4,73.4,13.6,98.3,0
68,9.831,76.941,6,2,101.3,95.3,277.1,0
69,9.831,76.941,6,3,23.3,48,184.5,0
70,9.835,76.866,8,1,9.6,0.5,1.6,0
71,9.835,76.866,8,1,0,1.1,76.3,0
72,9.915,77.011,8,1,140.8,262.8,365.9,0
73,9.915,77.011,8,1,52.3,108.8,161.2,0
74,9.896,76.935,8,1,29.1,22.1,62.4,0
75,9.896,76.935,8,1,7,12,152.1,0
76,9.879,76.968,8,1,134,129.7,243.5,0
77,9.879,76.968,8,1,64.6,61.4,96.6,0
78,9.854,76.947,8,1,109.5,111.1,173.2,0
79,9.854,76.947,8,1,33.2,320,628.6,0
80,9.801,76.901,5,5,52.4,9.3,114.7,0
81,9.831,76.941,6,1,78.8,80.2,89.4,0
82,9.831,76.941,6,1,5.7,3.5,20.1,0
